Date  ,Concert  ,Venue  ,Location  
"Nov 20, 2016 ",Jeremih / PARTYNEXTDOOR ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 19, 2016 ",Two Door Cinema Club / Broods  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 19, 2016 ",Two Door Cinema Club  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 18, 2016 ",Jim James / Twin Limb  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 15, 2017 ",Trophy Eyes / Free Throw / Head North / Grayscale  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2017 ",American Dream  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2017 ",LCD Soundsystem ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 04, 2017 ",Morrissey ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 24, 2017 ",Joe Russo's Almost Dead  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 23, 2017 ",The Front Bottoms / Basement / Bad Bad Hats ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 22, 2017 ",The Front Bottoms  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 19, 2017 ",Silversun Pickups / Minus the Bear  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 16, 2017 ",Gone Now Era Part 2 Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 16, 2017 ",Bleachers / Bishop Briggs / Amy Shark ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 15, 2017 ",Bang & Whimper - The Farewell Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 15, 2017 ",HIM / CKY / 3TEETH ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 10, 2017 ",The Used  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 04, 2017 ",The Shins  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 04, 2017 ",The Shins  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 03, 2017 ",Elbow  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 03, 2017 ",Elbow ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 31, 2017 ",alt-J / NoMBe  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2017 ",Niall Horan / Gavin James  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2017 ",Flicker Sessions  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2017 ",Niall Horan ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 28, 2017 ",Vinyl Theatre / Smallpools / Misterwives  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 21, 2017 ",Colors  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 21, 2017 ",Small Pools / Misterwives ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 20, 2017 ",Paper Airplanes Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 20, 2017 ",Ben Folds ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 11, 2017 ",Trombone Shorty  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 11, 2017 ",Trombone Shorty ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 06, 2017 ",Glass Animals  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 06, 2017 ",Glass Animals / Amber Mark  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 03, 2017 ",Broken Social Scene  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 03, 2017 ",Broken Social Scene / Frightened Rabbit ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 03, 2017 ",Frightened Rabbit / Broken Social Scene  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 01, 2017 ",Manchester Orchestra / Tigers Jaw / Foxing  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 27, 2018 ",Tigers Jaw / Land of Talk / Rainer Maria / Jeff Rosenstock / Sidney Gish / Gladie / The Hotelier  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 27, 2018 ",Otherly Love  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 27, 2018 ",Land of Talk / Rainer Maria ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 27, 2018 ",Otherly Love  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 27, 2018 ",Tigers Jaw / Land of Talk / Jeff Rosenstock / The Hotelier / Rainer Maria / Sidney Gish / Gladdie ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
