State,County,% Adults with Obesity,% Excessive Drinking,Chlamydia Rate,% Drive Alone to Work
Texas,Lampasas,34,20,309.1,80
Texas,La Salle,24,18,197.8,86
Texas,Lavaca,40,20,219.3,81
Texas,Lee,38,19,133.9,76
Texas,Leon,33,19,278.4,76
Texas,Liberty,38,18,468.6,85
Texas,Limestone,42,19,267.8,86
Texas,Lipscomb,29,20,118.4,87
Texas,Live Oak,24,19,648.9,81
Texas,Llano,26,20,80.2,73
Texas,Loving,30,21,,82
Texas,Lubbock,31,18,831.2,80
Texas,Lynn,26,18,187.7,80
Texas,McCulloch,31,19,326.8,86
Texas,McLennan,34,19,754.2,83
Texas,McMullen,24,20,,75
Texas,Madison,30,20,274.2,80
Texas,Marion,45,18,367.6,83
Texas,Martin,31,19,231.1,83
Texas,Mason,25,19,142.1,72
Texas,Matagorda,37,18,306.7,85
Texas,Maverick,31,15,420.8,82
Texas,Medina,37,20,205.7,79
Texas,Menard,29,19,517.9,66
Texas,Midland,35,20,502.3,85
Texas,Milam,41,18,510.9,83
Texas,Mills,27,20,121.9,75
Texas,Mitchell,20,20,295.2,84
Texas,Montague,34,19,143.3,84
Texas,Montgomery,29,20,279.4,81
Texas,Moore,28,18,493.3,82
Texas,Morris,33,19,328.9,83
Texas,Motley,24,20,,68
Texas,Nacogdoches,35,19,779.2,79
Texas,Navarro,35,19,400.4,83
Texas,Newton,35,18,207.9,85
Texas,Nolan,27,19,880.2,80
Texas,Nueces,33,20,756.9,83
Texas,Ochiltree,27,19,208.5,79
Texas,Oldham,25,20,,70
Texas,Orange,46,21,282.2,86
Texas,Palo Pinto,41,19,402.5,78
Texas,Panola,34,19,348.5,87
Texas,Parker,32,20,221.0,84
Texas,Parmer,37,18,325.1,80
Texas,Pecos,39,18,364.6,83
Texas,Polk,40,19,297.0,80
Texas,Potter,31,17,980.4,82
Texas,Presidio,30,14,293.5,52
Texas,Rains,27,20,195.5,78
Texas,Randall,30,20,212.7,84
Texas,Reagan,28,18,296.5,83
Texas,Real,20,18,,69
Texas,Red River,40,18,327.1,84
Texas,Reeves,29,19,517.0,81
Texas,Refugio,20,18,332.2,84
Texas,Roberts,21,21,,79
Texas,Robertson,42,19,703.4,79
Texas,Rockwall,31,21,176.7,81
Texas,Runnels,19,19,224.0,82
Texas,Rusk,41,19,335.0,87
Texas,Sabine,27,19,372.8,91
Texas,San Augustine,36,18,363.5,83
Texas,San Jacinto,38,19,396.2,80
Texas,San Patricio,41,18,188.9,87
Texas,San Saba,32,19,369.2,71
Texas,Schleicher,24,19,266.6,81
Texas,Scurry,28,19,398.8,83
Texas,Shackelford,26,20,210.3,84
Texas,Shelby,29,17,348.8,81
Texas,Sherman,29,20,,75
Texas,Smith,33,18,493.1,83
Texas,Somervell,29,19,214.8,87
Texas,Starr,32,14,352.2,70
Texas,Stephens,35,19,364.1,85
Texas,Sterling,22,20,,81
Texas,Stonewall,20,20,,87
Texas,Sutton,29,20,265.5,84
Texas,Swisher,20,17,146.4,81
Texas,Tarrant,31,18,466.1,82
Texas,Taylor,31,19,391.1,80
Texas,Terrell,20,18,,82
Texas,Terry,37,18,440.4,75
Texas,Throckmorton,24,20,,84
Texas,Titus,34,17,322.1,84
Texas,Tom Green,30,20,624.5,80
Texas,Travis,23,22,733.0,74
Texas,Trinity,25,19,238.6,81
Texas,Tyler,42,21,264.6,81
Texas,Upshur,30,20,254.4,82
Texas,Upton,24,18,354.9,86
Texas,Uvalde,36,17,387.0,79
Texas,Val Verde,27,18,416.6,80
Texas,Van Zandt,35,19,175.8,81
Texas,Victoria,37,19,520.2,80
Texas,Walker,32,20,844.3,82
Texas,Waller,35,18,380.1,81
Texas,Ward,38,18,383.5,85
Texas,Washington,36,18,399.5,84
Texas,Webb,37,16,453.8,82
Texas,Wharton,37,18,295.5,87
Texas,Wheeler,25,19,,86
Texas,Wichita,36,16,434.8,77
Texas,Wilbarger,36,18,352.6,79
Texas,Willacy,38,15,398.4,83
Texas,Williamson,31,19,247.7,79
Texas,Wilson,35,20,150.1,80
Texas,Winkler,38,19,462.1,81
Texas,Wise,45,20,166.2,82
Texas,Wood,33,21,225.7,81
Texas,Yoakum,30,19,408.5,74
Texas,Young,36,19,300.4,82
Texas,Zapata,30,14,300.2,68
Texas,Zavala,29,15,142.3,90
Texas,,27,11,339.8,76
Utah,Beaver,27,12,140.9,75
Utah,Box Elder,34,11,209.0,78
Utah,Cache,25,10,217.0,74
Utah,Carbon,30,12,305.5,82
Utah,Daggett,28,13,,51
Utah,Davis,27,10,327.9,81
Utah,Duchesne,32,12,204.7,79
Utah,Emery,32,12,168.7,80
Utah,Garfield,21,12,137.8,72
Utah,Grand,27,12,206.7,74
Utah,Iron,26,11,286.3,76
Utah,Juab,28,12,160.0,76
Utah,Kane,28,12,105.7,78
Utah,Millard,36,10,147.7,73
Utah,Morgan,22,14,185.3,85
Utah,Piute,21,11,,78
Utah,Rich,25,13,292.8,73
Utah,Salt Lake,26,14,465.5,75
Utah,San Juan,39,11,273.5,77
Utah,Sanpete,29,10,146.5,72
Utah,Sevier,30,12,187.7,80
Utah,Summit,15,17,282.2,71
Utah,Tooele,37,12,275.7,75
Utah,Uintah,36,11,287.3,77
Utah,Utah,26,6,209.8,73
Utah,Wasatch,25,13,143.3,78
Utah,Washington,24,11,291.6,77
Utah,Wayne,22,14,,73
Utah,Weber,32,12,404.7,80
Utah,,27,20,274.5,76
Vermont,Addison,26,22,198.5,73
Vermont,Bennington,30,20,230.4,77
Vermont,Caledonia,30,22,301.7,77
Vermont,Chittenden,22,19,364.0,73
Vermont,Essex,30,21,160.5,80
Vermont,Franklin,35,19,289.6,82
Vermont,Grand Isle,30,24,171.5,78
Vermont,Lamoille,24,23,276.3,78
Vermont,Orange,29,20,207.1,76
Vermont,Orleans,32,22,286.9,77
Vermont,Rutland,33,21,199.7,81
Vermont,Washington,22,24,329.4,74
Vermont,Windham,25,21,219.3,72
Vermont,Windsor,28,23,181.5,79
Vermont,,31,18,507.3,77
Virginia,Accomack,37,18,734.4,74
Virginia,Albemarle,23,20,340.8,76
Virginia,Alleghany,33,19,218.2,86
Virginia,Amelia,44,19,422.4,87
Virginia,Amherst,29,18,310.2,82
Virginia,Appomattox,41,18,331.6,82
Virginia,Arlington,19,22,450.7,51
Virginia,Augusta,35,18,270.1,86
Virginia,Bath,26,18,256.0,84
Virginia,Bedford,35,19,203.9,85
Virginia,Bland,28,21,110.2,92
Virginia,Botetourt,29,20,150.6,86
Virginia,Brunswick,44,15,886.5,85
Virginia,Buchanan,36,16,79.0,85
Virginia,Buckingham,42,17,334.0,82
Virginia,Campbell,38,17,319.9,86
Virginia,Caroline,43,18,446.5,80
Virginia,Carroll,34,18,228.9,83
Virginia,Charles City,39,17,499.7,81
Virginia,Charlotte,36,17,371.3,76
Virginia,Chesterfield,33,17,526.2,83
Virginia,Clarke,27,20,124.1,80
Virginia,Craig,27,20,237.1,90
Virginia,Culpeper,33,20,380.3,81
Virginia,Cumberland,43,17,642.1,79
Virginia,Dickenson,36,18,148.8,89
Virginia,Dinwiddie,46,18,510.5,88
Virginia,Essex,35,18,725.4,82
Virginia,Fairfax,21,17,275.2,70
Virginia,Fauquier,34,20,230.3,81
Virginia,Floyd,29,20,69.8,80
Virginia,Fluvanna,38,19,279.8,80
Virginia,Franklin,40,19,248.0,81
Virginia,Frederick,33,20,268.3,84
Virginia,Giles,31,19,106.9,87
Virginia,Gloucester,29,22,386.1,85
Virginia,Goochland,30,20,211.6,83
Virginia,Grayson,33,18,204.3,82
Virginia,Greene,31,19,300.8,79
Virginia,Greensville,42,16,582.2,82
Virginia,Halifax,41,16,480.3,83
Virginia,Hanover,30,23,306.8,85
Virginia,Henrico,33,19,575.2,82
Virginia,Henry,37,16,329.9,87
Virginia,Highland,25,19,,80
Virginia,Isle of Wight,45,21,451.4,89
Virginia,James City,28,21,336.3,83
Virginia,King and Queen,49,19,271.3,83
Virginia,King George,30,20,402.5,83
Virginia,King William,35,20,305.2,88
Virginia,Lancaster,28,18,602.5,83
Virginia,Lee,34,18,143.1,85
Virginia,Loudoun,23,16,227.3,76
Virginia,Louisa,36,19,267.7,79
Virginia,Lunenburg,46,16,367.8,81
Virginia,Madison,45,19,218.4,79
Virginia,Mathews,30,21,296.2,79
Virginia,Mecklenburg,41,16,485.6,82
Virginia,Middlesex,36,19,309.0,80
Virginia,Montgomery,29,18,370.3,77
Virginia,Nelson,31,20,274.4,71
Virginia,New Kent,34,20,276.7,86
Virginia,Northampton,42,17,776.6,74
Virginia,Northumberland,24,19,439.9,83
Virginia,Nottoway,34,17,1302.3,85
Virginia,Orange,38,18,249.5,81
Virginia,Page,38,19,214.9,78
Virginia,Patrick,34,18,118.9,88
Virginia,Pittsylvania,39,17,271.0,85
Virginia,Powhatan,28,21,262.2,86
Virginia,Prince Edward,38,17,700.3,78
Virginia,Prince George,33,17,796.1,85
Virginia,Prince William,32,17,485.9,75
Virginia,Pulaski,33,21,345.2,87
Virginia,Rappahannock,32,20,191.2,75
Virginia,Richmond,33,19,570.5,78
Virginia,Roanoke,30,20,214.4,87
Virginia,Rockbridge,29,19,176.5,85
Virginia,Rockingham,32,20,268.0,81
Virginia,Russell,33,18,210.7,85
Virginia,Scott,31,17,228.7,87
Virginia,Shenandoah,33,19,194.3,82
Virginia,Smyth,30,20,473.0,83
Virginia,Southampton,47,19,433.8,83
Virginia,Spotsylvania,34,19,394.6,78
Virginia,Stafford,32,19,424.8,74
Virginia,Surry,33,17,474.0,83
Virginia,Sussex,39,16,562.7,80
Virginia,Tazewell,37,18,175.2,86
Virginia,Warren,35,20,267.9,75
Virginia,Washington,32,20,167.3,84
Virginia,Westmoreland,34,18,388.1,79
Virginia,Wise,40,17,285.1,85
Virginia,Wythe,37,19,297.8,87
Virginia,York,25,19,282.0,85
Virginia,Alexandria City,24,20,457.4,59
Virginia,Bristol City,27,17,339.5,78
Virginia,Buena Vista City,21,17,189.7,85
Virginia,Charlottesville City,30,18,514.4,59
Virginia,Chesapeake City,35,18,631.9,85
Virginia,Colonial Heights City,34,19,459.9,84
Virginia,Covington City,24,18,415.8,90
Virginia,Danville City,31,15,714.8,81
Virginia,Emporia City,29,13,1117.0,78
Virginia,Fairfax City,24,17,323.7,71
Virginia,Falls Church City,21,21,226.3,60
Virginia,Franklin City,38,16,1431.0,87
Virginia,Fredericksburg City,32,19,768.7,66
Virginia,Galax City,35,16,347.2,75
Virginia,Hampton City,37,17,1140.6,83
Virginia,Harrisonburg City,26,16,736.0,68
Virginia,Hopewell City,41,16,1136.1,81
Virginia,Lexington City,24,18,182.9,57
Virginia,Lynchburg City,36,18,712.4,75
Virginia,Manassas City,30,17,568.7,76
Virginia,Manassas Park City,28,16,506.3,70
Virginia,Martinsville City,24,15,951.1,77
Virginia,Newport News City,38,17,1125.5,78
Virginia,Norfolk City,35,19,1303.6,73
Virginia,Norton City,27,17,330.3,82
Virginia,Petersburg City,40,14,1729.1,75
Virginia,Poquoson City,39,21,199.1,91
Virginia,Portsmouth City,42,16,1331.3,81
Virginia,Radford City,33,17,1274.2,78
Virginia,Richmond City,31,18,1307.7,71
Virginia,Roanoke City,36,17,869.4,79
Virginia,Salem City,31,19,266.8,81
Virginia,Staunton City,22,18,481.1,84
Virginia,Suffolk City,34,17,719.2,87
Virginia,Virginia Beach City,28,21,659.8,82
Virginia,Waynesboro City,37,18,622.6,82
Virginia,Williamsburg City,33,18,479.0,63
Virginia,Winchester City,30,19,497.6,67
Virginia,,29,17,465.2,72
Washington,Adams,35,15,466.5,72
Washington,Asotin,32,19,252.9,80
Washington,Benton,35,18,449.1,82
Washington,Chelan,33,20,373.7,76
Washington,Clallam,31,19,251.7,77
Washington,Clark,32,19,414.2,79
Washington,Columbia,32,20,98.8,65
Washington,Cowlitz,38,18,467.7,82
Washington,Douglas,31,21,431.5,83
Washington,Ferry,31,20,171.2,61
Washington,Franklin,31,17,568.8,79
Washington,Garfield,34,21,,74
Washington,Grant,33,16,399.3,74
Washington,Grays Harbor,36,20,396.2,77
Washington,Island,31,21,253.7,73
Washington,Jefferson,21,22,144.1,73
Washington,King,23,19,467.5,62
Washington,Kitsap,30,19,448.2,69
Washington,Kittitas,28,19,497.8,74
Washington,Klickitat,27,20,238.4,70
Washington,Lewis,33,18,358.1,79
Washington,Lincoln,33,22,132.3,70
Washington,Mason,37,21,381.4,76
Washington,Okanogan,32,18,297.1,77
Washington,Pacific,38,21,171.1,75
Washington,Pend Oreille,42,19,239.6,77
Washington,Pierce,32,18,667.0,78
Washington,San Juan,20,22,89.7,65
Washington,Skagit,30,19,371.8,79
Washington,Skamania,35,19,160.5,79
Washington,Snohomish,30,17,332.2,74
Washington,Spokane,29,20,546.7,77
Washington,Stevens,30,19,239.2,80
Washington,Thurston,30,17,427.0,79
Washington,Wahkiakum,35,19,,85
Washington,Walla Walla,29,18,351.7,73
Washington,Whatcom,28,20,377.1,76
Washington,Whitman,27,18,992.9,61
Washington,Yakima,34,16,703.9,80
Washington,,38,14,198.2,82
West Virginia,Barbour,40,15,194.0,80
West Virginia,Berkeley,39,17,338.5,84
West Virginia,Boone,42,14,89.5,87
West Virginia,Braxton,37,14,84.3,79
West Virginia,Brooke,35,16,124.8,84
West Virginia,Cabell,37,15,388.6,82
West Virginia,Calhoun,30,15,95.8,79
West Virginia,Clay,38,14,125.5,76
West Virginia,Doddridge,38,16,233.6,79
West Virginia,Fayette,40,15,147.1,81
West Virginia,Gilmer,37,14,174.9,82
West Virginia,Grant,39,15,120.0,83
West Virginia,Greenbrier,35,14,130.4,82
West Virginia,Hampshire,38,16,132.1,84
West Virginia,Hancock,42,16,159.6,86
West Virginia,Hardy,40,14,131.2,81
West Virginia,Harrison,37,14,138.6,84
West Virginia,Jackson,43,14,89.7,83
West Virginia,Jefferson,34,17,285.8,79
West Virginia,Kanawha,38,15,273.9,83
West Virginia,Lewis,43,15,172.6,80
West Virginia,Lincoln,43,14,115.2,85
West Virginia,Logan,43,14,60.7,85
West Virginia,McDowell,45,12,65.0,85
West Virginia,Marion,37,14,239.6,83
West Virginia,Marshall,41,17,189.2,89
West Virginia,Mason,42,14,164.2,87
West Virginia,Mercer,40,12,108.8,85
West Virginia,Mineral,36,15,143.3,85
West Virginia,Mingo,42,13,62.2,85
West Virginia,Monongalia,30,17,381.8,76
West Virginia,Monroe,32,15,37.3,77
West Virginia,Morgan,39,16,147.0,80
West Virginia,Nicholas,41,14,59.9,85
West Virginia,Ohio,32,16,271.2,82
West Virginia,Pendleton,37,14,85.8,73
West Virginia,Pleasants,31,15,159.7,90
West Virginia,Pocahontas,33,14,94.6,76
West Virginia,Preston,37,15,98.0,80
West Virginia,Putnam,40,16,114.5,87
West Virginia,Raleigh,38,14,213.3,81
West Virginia,Randolph,34,16,163.3,81
West Virginia,Ritchie,44,15,92.1,85
West Virginia,Roane,41,14,64.1,76
West Virginia,Summers,41,14,46.2,83
West Virginia,Taylor,41,15,141.8,86
West Virginia,Tucker,29,16,101.2,80
West Virginia,Tyler,35,15,147.8,85
West Virginia,Upshur,35,14,200.3,81
West Virginia,Wayne,43,13,67.2,85
West Virginia,Webster,37,14,119.4,80
West Virginia,Wetzel,38,15,200.8,85
West Virginia,Wirt,35,14,,85
West Virginia,Wood,40,15,189.2,82
West Virginia,Wyoming,36,14,56.6,84
West Virginia,,32,27,483.6,81
Wisconsin,Adams,32,26,245.3,80
Wisconsin,Ashland,33,24,251.6,73
Wisconsin,Barron,41,26,278.4,81
Wisconsin,Bayfield,29,26,193.2,75
Wisconsin,Brown,34,28,459.1,84
Wisconsin,Buffalo,33,27,212.7,78
Wisconsin,Burnett,34,27,195.4,80
Wisconsin,Calumet,28,30,233.7,87
Wisconsin,Chippewa,31,27,285.2,82
Wisconsin,Clark,40,26,181.7,72
Wisconsin,Columbia,46,28,263.8,82
Wisconsin,Crawford,31,26,271.4,80
Wisconsin,Dane,23,28,501.3,74
Wisconsin,Dodge,38,26,413.5,83
Wisconsin,Door,32,28,192.8,81
Wisconsin,Douglas,37,27,339.6,80
Wisconsin,Dunn,39,29,375.9,79
Wisconsin,Eau Claire,28,25,487.1,81
Wisconsin,Florence,35,27,,82
Wisconsin,Fond du Lac,32,27,330.6,83
Wisconsin,Forest,31,26,412.5,77
Wisconsin,Grant,35,28,298.1,78
Wisconsin,Green,33,27,246.9,81
Wisconsin,Green Lake,32,26,229.2,79
Wisconsin,Iowa,30,28,160.2,81
Wisconsin,Iron,27,27,141.1,77
Wisconsin,Jackson,34,26,224.1,79
Wisconsin,Jefferson,33,28,264.1,82
Wisconsin,Juneau,36,26,188.1,81
Wisconsin,Kenosha,31,26,504.4,85
Wisconsin,Kewaunee,35,29,117.4,82
Wisconsin,La Crosse,26,27,453.2,81
Wisconsin,Lafayette,28,26,238.9,78
Wisconsin,Langlade,32,27,276.6,82
Wisconsin,Lincoln,42,27,237.1,84
Wisconsin,Manitowoc,36,28,284.2,85
Wisconsin,Marathon,34,26,244.6,82
Wisconsin,Marinette,33,27,307.6,85
Wisconsin,Marquette,40,27,196.0,81
Wisconsin,Menominee,45,26,866.7,77
Wisconsin,Milwaukee,32,23,1175.8,77
Wisconsin,Monroe,38,27,317.8,79
Wisconsin,Oconto,36,27,226.3,83
Wisconsin,Oneida,35,26,195.7,84
Wisconsin,Outagamie,33,31,323.6,85
Wisconsin,Ozaukee,24,28,131.2,86
Wisconsin,Pepin,27,29,234.4,79
Wisconsin,Pierce,31,29,305.5,82
Wisconsin,Polk,30,29,225.5,82
Wisconsin,Portage,29,28,339.1,80
Wisconsin,Price,31,26,193.4,82
Wisconsin,Racine,39,25,611.5,84
Wisconsin,Richland,37,26,308.3,80
Wisconsin,Rock,37,25,534.8,83
Wisconsin,Rusk,25,26,240.3,78
Wisconsin,St. Croix,25,28,191.7,84
Wisconsin,Sauk,35,28,401.7,82
Wisconsin,Sawyer,35,28,109.6,75
Wisconsin,Shawano,36,27,312.7,82
Wisconsin,Sheboygan,33,28,345.1,84
Wisconsin,Taylor,37,27,177.2,75
Wisconsin,Trempealeau,37,27,356.3,80
Wisconsin,Vernon,34,25,126.8,78
Wisconsin,Vilas,29,26,175.3,81
Wisconsin,Walworth,34,29,313.3,81
Wisconsin,Washburn,36,25,165.0,80
Wisconsin,Washington,31,28,208.0,87
Wisconsin,Waukesha,27,29,211.9,86
Wisconsin,Waupaca,36,27,205.0,84
Wisconsin,Waushara,38,27,209.3,82
Wisconsin,Winnebago,37,28,457.7,85
Wisconsin,Wood,27,26,279.0,82
Wisconsin,,29,20,374.4,77
Wyoming,Albany,25,20,493.1,71
Wyoming,Big Horn,33,20,84.0,79
Wyoming,Campbell,32,21,516.8,78
Wyoming,Carbon,34,20,222.2,81
Wyoming,Converse,32,23,282.4,75
Wyoming,Crook,30,21,161.9,70
Wyoming,Fremont,29,18,530.1,74
Wyoming,Goshen,32,20,388.7,80
Wyoming,Hot Springs,30,20,319.4,67
Wyoming,Johnson,26,22,106.2,76
Wyoming,Laramie,30,18,396.6,81
Wyoming,Lincoln,26,19,145.3,69
Wyoming,Natrona,31,21,504.1,85
Wyoming,Niobrara,28,18,,72
Wyoming,Park,27,20,304.4,75
Wyoming,Platte,29,21,151.8,78
Wyoming,Sheridan,29,21,374.0,79
Wyoming,Sublette,29,21,204.1,70
Wyoming,Sweetwater,30,19,307.8,76
Wyoming,Teton,11,24,382.5,69
Wyoming,Uinta,35,18,204.9,76
Wyoming,Washakie,29,19,334.8,78
Wyoming,Weston,37,20,173.2,73
Wyoming,,,,,
